strain	isotype
DR1344	CB4851
RW7000	CB4851
JU1563	CB4852
CB3198	CB4853
DR1350	CB4853
CB3196	CB4854
CB3197	CB4854
ECA260	CB4856
CB3199	CB4857
DR1345	CB4857
AB2	CB4858
AB3	CB4858
CX11258	CB4858
CX11278	CB4858
CX11305	CB4858
CX11317	CB4858
ECA247	CB4858
CX11294	CX11262
CX11319	CX11271
CX11316	CX11276
CX11321	CX11285
CX11259	CX11292
CX11268	CX11315
ED3021	ED3005
ED3010	ED3012
ED3014	ED3012
ED3015	ED3012
ED3023	ED3012
ED3024	ED3012
ED3028	ED3012
ED3019	ED3017
ED3020	ED3017
ED3042	ED3048
ED3043	ED3052
ED3057	ED3073
ED3072	ED3073
ED3075	ED3073
EG4346	EG4347
EG4348	EG4349
EG4680	EG4946
EG4689	EG4946
EG4945	EG4946
EG4948	EG4946
EG4951	EG4946
EG4957	EG4946
JT11362	JT11398
JT11399	JT11398
JU1207	JU1212
JU1214	JU1212
JU1482	JU1213
JU531	JU1213
JU533	JU1213
JU1218	JU1242
JU1230	JU1242
JU1243	JU1242
JU1401	JU1409
JU1410	JU1409
JU1411	JU1409
JU1484	JU1491
JU1566	JU1568
JU1522	JU1581
JU1582	JU1581
JU1026	JU310
JU1037	JU310
JU1039	JU310
JU1040	JU310
JU1204	JU310
JU1206	JU310
JU299	JU310
JU300	JU310
JU301	JU310
JU302	JU310
JU303	JU310
JU305	JU310
JU306	JU310
JU307	JU310
JU309	JU310
JU438	JU310
JU313	JU311
JU314	JU311
JU316	JU311
JU317	JU311
JU318	JU311
JU319	JU311
JU321	JU311
JU322	JU323
JU342	JU323
JU347	JU323
JU362	JU360
JU364	JU360
JU366	JU360
JU368	JU360
JU369	JU360
JU370	JU360
JU801	JU360
JU361	JU367
JU371	JU367
JU692	JU367
JU693	JU367
JU694	JU367
JU399	JU394
JU400	JU394
JU398	JU397
JU401	JU397
JU402	JU397
JU407	JU406
JU563	JU561
JU799	JU775
JU395	JU792
JU396	JU792
JU622	JU792
JU829	JU830
JU848	JU847
MY11	MY10
MY12	MY10
MY13	MY10
MY17	MY10
MY19	MY10
MY20	MY10
MY21	MY10
MY22	MY10
MY3	MY10
MY4	MY10
MY5	MY10
MY7	MY10
MY8	MY10
MY9	MY10
MY6	MY18
JU1171	MY23
MY14	MY23
MY15	MY23
MY2	MY23
ECA255	N2
ECA257	N2
ECA258	PB306
PX178	PX179
QX1218	QX1233
WN2003	WN2002